n,k,ln(n),gc_fraction,above_threshold
1024,4.9,6.931471805599453,0.92900390625,False
1024,4.91,6.931471805599453,0.932265625,False
1024,4.92,6.931471805599453,0.9335546875,False
1024,4.93,6.931471805599453,0.93486328125,False
1024,4.94,6.931471805599453,0.93654296875,False
1024,4.95,6.931471805599453,0.93712890625,False
1024,4.96,6.931471805599453,0.93744140625,False
1024,4.97,6.931471805599453,0.93853515625,False
1024,4.98,6.931471805599453,0.93927734375,False
1024,4.99,6.931471805599453,0.93953125,False
1024,5.0,6.931471805599453,0.94,False
1024,5.01,6.931471805599453,0.94166015625,False
1024,5.02,6.931471805599453,0.94203125,False
1024,5.03,6.931471805599453,0.9421484375,False
1024,5.04,6.931471805599453,0.94240234375,False
1024,5.05,6.931471805599453,0.94322265625,False
1024,5.06,6.931471805599453,0.94451171875,False
1024,5.07,6.931471805599453,0.9453125,False
1024,5.08,6.931471805599453,0.94583984375,False
1024,5.09,6.931471805599453,0.94603515625,False
1024,5.1,6.931471805599453,0.9478515625,False
1024,5.11,6.931471805599453,0.9488671875,False
1024,5.12,6.931471805599453,0.94953125,False
1024,5.13,6.931471805599453,0.9522265625,False
1024,5.14,6.931471805599453,0.9526953125,False
1024,5.15,6.931471805599453,0.95279296875,False
1024,5.16,6.931471805599453,0.95349609375,False
1024,5.17,6.931471805599453,0.95396484375,False
1024,5.18,6.931471805599453,0.9551171875,False
1024,5.19,6.931471805599453,0.95544921875,False
1024,5.2,6.931471805599453,0.95634765625,False
1024,5.21,6.931471805599453,0.9568359375,False
1024,5.22,6.931471805599453,0.9576171875,False
1024,5.23,6.931471805599453,0.95794921875,False
1024,5.24,6.931471805599453,0.95818359375,False
1024,5.25,6.931471805599453,0.95822265625,False
1024,5.26,6.931471805599453,0.9587890625,False
1024,5.27,6.931471805599453,0.960390625,False
1024,5.28,6.931471805599453,0.9627734375,False
1024,5.29,6.931471805599453,0.9630078125,False
1024,5.3,6.931471805599453,0.9634375,False
1024,5.31,6.931471805599453,0.96421875,False
1024,5.32,6.931471805599453,0.96455078125,False
1024,5.33,6.931471805599453,0.96623046875,False
1024,5.34,6.931471805599453,0.96642578125,False
1024,5.35,6.931471805599453,0.96673828125,False
1024,5.36,6.931471805599453,0.96771484375,False
1024,5.37,6.931471805599453,0.967734375,False
1024,5.38,6.931471805599453,0.969453125,False
1024,5.39,6.931471805599453,0.96974609375,False
1024,5.4,6.931471805599453,0.97029296875,False
1024,5.41,6.931471805599453,0.97044921875,False
1024,5.42,6.931471805599453,0.9708203125,False
1024,5.43,6.931471805599453,0.97111328125,False
1024,5.44,6.931471805599453,0.97111328125,False
1024,5.45,6.931471805599453,0.97185546875,False
1024,5.46,6.931471805599453,0.97220703125,False
1024,5.47,6.931471805599453,0.97408203125,False
1024,5.48,6.931471805599453,0.97427734375,False
1024,5.49,6.931471805599453,0.97451171875,False
1024,5.5,6.931471805599453,0.974921875,False
1024,5.51,6.931471805599453,0.975078125,False
1024,5.52,6.931471805599453,0.97568359375,False
1024,5.53,6.931471805599453,0.9760546875,False
1024,5.54,6.931471805599453,0.97623046875,False
1024,5.55,6.931471805599453,0.97654296875,False
1024,5.56,6.931471805599453,0.9769921875,False
1024,5.57,6.931471805599453,0.97771484375,False
1024,5.58,6.931471805599453,0.97857421875,False
1024,5.59,6.931471805599453,0.97875,False
1024,5.6,6.931471805599453,0.9788671875,False
1024,5.61,6.931471805599453,0.97931640625,False
1024,5.62,6.931471805599453,0.9795703125,False
1024,5.63,6.931471805599453,0.98009765625,False
1024,5.64,6.931471805599453,0.9803125,False
1024,5.65,6.931471805599453,0.9804296875,False
1024,5.66,6.931471805599453,0.98052734375,False
1024,5.67,6.931471805599453,0.98193359375,False
1024,5.68,6.931471805599453,0.98201171875,False
1024,5.69,6.931471805599453,0.9820703125,False
1024,5.7,6.931471805599453,0.9821875,False
1024,5.71,6.931471805599453,0.98232421875,False
1024,5.72,6.931471805599453,0.98240234375,False
1024,5.73,6.931471805599453,0.9825,False
1024,5.74,6.931471805599453,0.98251953125,False
1024,5.75,6.931471805599453,0.98275390625,False
1024,5.76,6.931471805599453,0.98359375,False
1024,5.77,6.931471805599453,0.98380859375,False
1024,5.78,6.931471805599453,0.98384765625,False
1024,5.79,6.931471805599453,0.98453125,False
1024,5.8,6.931471805599453,0.98478515625,False
1024,5.81,6.931471805599453,0.98501953125,False
1024,5.82,6.931471805599453,0.9851171875,False
1024,5.83,6.931471805599453,0.98529296875,False
1024,5.84,6.931471805599453,0.98556640625,False
1024,5.85,6.931471805599453,0.9855859375,False
1024,5.86,6.931471805599453,0.9855859375,False
1024,5.87,6.931471805599453,0.98568359375,False
1024,5.88,6.931471805599453,0.98595703125,False
1024,5.89,6.931471805599453,0.98630859375,False
1024,5.9,6.931471805599453,0.9865234375,False
1024,5.91,6.931471805599453,0.98673828125,False
1024,5.92,6.931471805599453,0.98685546875,False
1024,5.93,6.931471805599453,0.986875,False
1024,5.94,6.931471805599453,0.98693359375,False
1024,5.95,6.931471805599453,0.98701171875,False
1024,5.96,6.931471805599453,0.98703125,False
1024,5.97,6.931471805599453,0.98708984375,False
1024,5.98,6.931471805599453,0.98708984375,False
1024,5.99,6.931471805599453,0.98708984375,False
1024,6.0,6.931471805599453,0.98767578125,False
4096,4.0,8.317766166719343,0.220751953125,False
4096,4.01,8.317766166719343,0.22369140625,False
4096,4.02,8.317766166719343,0.230166015625,False
4096,4.03,8.317766166719343,0.2383935546875,False
4096,4.04,8.317766166719343,0.2413037109375,False
4096,4.05,8.317766166719343,0.245771484375,False
4096,4.06,8.317766166719343,0.2510400390625,False
4096,4.07,8.317766166719343,0.2554150390625,False
4096,4.08,8.317766166719343,0.26150390625,False
4096,4.09,8.317766166719343,0.26966796875,False
4096,4.1,8.317766166719343,0.278994140625,False
4096,4.11,8.317766166719343,0.2895849609375,False
4096,4.12,8.317766166719343,0.29759765625,False
